exposure	outcome	kettunen_b	kettunen_se	kettunen_p	interval_b	interval_se	interval_p	meta_p	observational_b	observational_se	observational_p	UKB_b	UKB_se	UKB_p	meta_direction	metabolite	ng_anno_label	INTERVAL_label	UKB_label	ng_anno_raw.label	ng_anno_class	ng_anno_subclass	ng_anno_label.no.units	ng_anno_derived
bmi	Triglycerides in IDL (mmol/l)	0.0903844986022512	0.0184468644455075	9.59725909897577e-07	0.0525949680690816	0.0135440793087613	0.000103071937900083	2.37772996646885e-09	0.00650807527689197	0.000521027236324486	4.63718345707555e-35	0.0415907353084757	0.0339688518040724	0.220809437334272	+ + + + +	idltg	idltg	idltg	idltg	Triglycerides in IDL (mmol/l)	Lipoprotein subclasses	IDL	Triglycerides	no
bmi	Isoleucine (mmol/l)	0.0986502621289355	0.0168353673224835	4.63694120033771e-09	0.0449200466513882	0.01202077301964	0.000186326390513688	2.48630738551275e-11	0.00461046625965561	0.000205739416682514	4.83640314442817e-104	0.101020461745313	0.0283895310717504	0.000373163101975201	+ + + + +	ile	ile	ile	ile	Isoleucine (mmol/l)	Amino acids	Branched-chain amino acids	Isoleucine	no
bmi	Leucine (mmol/l)	0.0706771681141139	0.0169398973105281	3.01631336869144e-05	0.0551258724487761	0.0119009549162527	3.62054710167489e-06	2.61417375921872e-09	0.00299715087842739	0.000175475730845206	6.91898936589347e-63	0.104176749983344	0.029743117866631	0.000460827719552324	+ + + + +	leu	leu	leu	leu	Leucine (mmol/l)	Amino acids	Branched-chain amino acids	Leucine	no
bmi	Free cholesterol in large VLDL (mmol/l)	0.0969341167197916	0.0183014938377885	1.18034349845353e-07	0.0165783559553257	0.0127831991723127	0.194670308885951	4.27127995070072e-07	0.00702158093844661	0.00034847011961908	1.6154658560839e-85	0.0662312947614613	0.0408630773985056	0.105058339209355	+ + + + +	lvldlfc	lvldlfc	lvldlfc	lvldlfc	Free cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Free cholesterol	no
bmi	Total lipids in large VLDL (mmol/l)	0.114856248026416	0.0186625427586123	7.53751280955007e-10	0.0533351424699475	0.014156175141481	0.000164808810783642	3.81577542524876e-12	0.0615272400782779	0.00299898023133724	2.03473126054185e-88	0.0593775356911088	0.0386005718253909	0.123986195042789	+ + + + +	lvldll	lvldll	lvldll	lvldll	Total lipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Total lipids	no
bmi	Concentration of large VLDL particles (mol/l)	0.10829219182702	0.0188102400967868	8.55777283313235e-09	0.0369182020678983	0.0138448956219812	0.00766326310696003	1.60329436680662e-09	1.041677953663e-09	5.05186373879662e-11	3.02565991273213e-89	0.0647215207144958	0.0387256499273075	0.0946657909991516	+ + + + +	lvldlp	lvldlp	lvldlp	lvldlp	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL	Particle concentration	no
bmi	Phospholipids in large VLDL (mmol/l)	0.104208437445592	0.0181864003570168	1.00418804638879e-08	0.0369182020678983	0.0138448956219812	0.00766326310696003	1.86903441753613e-09	0.0111313212611174	0.00054305219523044	2.8494828758363e-88	0.0701713555580455	0.0397632175084572	0.077609100297677	+ + + + +	lvldlpl	lvldlpl	lvldlpl	lvldlpl	Phospholipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Phospholipids	no
bmi	Triglycerides in large VLDL (mmol/l)	0.103696757903626	0.0180634842231371	9.42948089952406e-09	0.0088206294601617	0.0128620871438346	0.492848548124517	9.38150640738736e-08	0.0365648899127885	0.00177429956723228	3.7470270300829e-89	0.0571991376180924	0.036940648883919	0.121524478276117	+ + + + +	lvldltg	lvldltg	lvldltg	lvldltg	Triglycerides in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Triglycerides	no
bmi	Monounsaturated fatty acids; 16:1, 18:1 (mmol/l)	0.0715320301451254	0.021918067849108	0.0011000238911462	0.0702679262160506	0.0137603653152773	3.28102311035962e-07	8.20818258080275e-09	0.206244946190823	0.0125176553362765	8.44217336636668e-59	0.0466235637257054	0.0337293232383934	0.166883971862223	+ + + + +	mufa	mufa	mufa	mufa	Monounsaturated fatty acids; 16:1, 18:1 (mmol/l)	Fatty acids	Fatty acids	MUFA	no
bmi	Triglycerides in medium VLDL (mmol/l)	0.101709882343821	0.0183179936220914	2.81681102275596e-08	0.0252205130726553	0.0132108275731953	0.056251905422637	3.36914186918524e-08	0.0506549432619608	0.00245938980938837	4.63266056986563e-89	0.0458215850346154	0.0371759379276355	0.217739857985158	+ + + + +	mvldltg	mvldltg	mvldltg	mvldltg	Triglycerides in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Triglycerides	no
