id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Lu BF EU sex combined 5 SNPs	027LBp	Clinical_LDL_C_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.157434326358013	0.143331090982694	0.352282351999319
Lu BF EU sex combined 5 SNPs	0EUzM0	L_HDL_TG_pct_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.00830973524201969	0.0244159387283858	0.756037892606776
Lu BF EU sex combined 5 SNPs	0SPoEG	M_LDL_TG_pct_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	-0.0911399307047636	0.0938014195904375	0.402901845488817
Lu BF EU sex combined 5 SNPs	0tH2Tb	ApoB_by_ApoA1_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.13712556744652	0.128914627362162	0.365494862142933
Lu BF EU sex combined 5 SNPs	10kBYz	Phe_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	-0.0173086183339469	0.0141739284094252	0.309241894704898
Lu BF EU sex combined 5 SNPs	13GGiH	L_VLDL_TG_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.04476881755426	0.0268169536971622	0.19362611015432
Lu BF EU sex combined 5 SNPs	1hsNYZ	L_HDL_C_pct_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.0253460870886937	0.0557945656422271	0.680484259677408
Lu BF EU sex combined 5 SNPs	1nUbq8	L_VLDL_P_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.056132294321867	0.0351547110658065	0.208607664952186
Lu BF EU sex combined 5 SNPs	1ziPL0	S_LDL_TG_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.0534250993162386	0.036744815420932	0.241933188210418
Lu BF EU sex combined 5 SNPs	2ReUZG	M_HDL_PL_pct_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	-0.0147893631971351	0.0381415017240133	0.724076437815893
Lu BF EU sex combined 5 SNPs	31STyf	S_HDL_P_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.0465526728648858	0.0249628023776838	0.159058109457848
Lu BF EU sex combined 5 SNPs	3fcMTc	M_HDL_C_pct_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	-0.000868360277426647	0.0289881720598984	0.977983817234471
Lu BF EU sex combined 5 SNPs	3lj7pW	S_HDL_PL_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	-0.00143346845285375	0.034559525232764	0.96952077799563
Lu BF EU sex combined 5 SNPs	3oIR0Q	HDL_TG_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	-0.00492681570345558	0.0392641211733881	0.908081085418555
Lu BF EU sex combined 5 SNPs	3vCY6H	S_HDL_L_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.0176484108752401	0.0161131663844493	0.35344981771181
Lu BF EU sex combined 5 SNPs	3VneR3	TG_by_PG_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.0204455852650187	0.0130642492863059	0.215547496377812
Lu BF EU sex combined 5 SNPs	4MUkhS	L_LDL_TG_pct_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	-0.0914069584638138	0.0987991707432048	0.423111259982811
Lu BF EU sex combined 5 SNPs	4qQikP	VLDL_FC_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.0923799903691594	0.0712138036848346	0.285304877233173
Lu BF EU sex combined 5 SNPs	53GBkS	S_VLDL_C_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.114533099022587	0.0917230264818919	0.300347944343182
Lu BF EU sex combined 5 SNPs	58qCUq	Omega_6_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.0910442626927295	0.0769377484455308	0.32190051445076
Lu BF EU sex combined 5 SNPs	5DkH30	XL_HDL_L_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.00101946851193997	0.0219919493674746	0.965939401664688
Lu BF EU sex combined 5 SNPs	5FXM7G	XXL_VLDL_C_pct_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.0144594731214939	0.0150245636062049	0.406848532230096
Lu BF EU sex combined 5 SNPs	5GXLjO	Remnant_C_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.135554634955064	0.11410912824817	0.320336442167678
Lu BF EU sex combined 5 SNPs	5Q33rS	XXL_VLDL_FC_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.0208046408781512	0.013077196219909	0.209860385839854
Lu BF EU sex combined 5 SNPs	5S4KHb	LA_pct_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.0372912549100171	0.0561198897039169	0.553887644817087
Lu BF EU sex combined 5 SNPs	5x900x	XL_HDL_PL_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	-0.0131704200499851	0.0151490211705171	0.448603994409961
Lu BF EU sex combined 5 SNPs	5zi3E3	XS_VLDL_PL_pct_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	-0.0383234044617419	0.0321645518952576	0.319134818298809
Lu BF EU sex combined 5 SNPs	614stP	M_LDL_TG_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.0677109511749451	0.0537982463234777	0.297206233880206
Lu BF EU sex combined 5 SNPs	6DAPDO	L_LDL_L_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.154603334205871	0.138966971916708	0.347040828930959
Lu BF EU sex combined 5 SNPs	6DVHXY	M_LDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	-0.0187927860950005	0.0480438877422353	0.721805970326067
Lu BF EU sex combined 5 SNPs	6FvUmP	Gly_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.0102339433060137	0.0156516773414558	0.559853415893561
Lu BF EU sex combined 5 SNPs	6HPuTk	L_LDL_P_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.149820048355066	0.13682754977016	0.353571226873529
Lu BF EU sex combined 5 SNPs	7E2C6J	VLDL_P_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.0943336600388342	0.0716504033596547	0.279525508230442
Lu BF EU sex combined 5 SNPs	7FzMed	XL_VLDL_CE_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.0861292477237821	0.0627973781642996	0.263784414299565
Lu BF EU sex combined 5 SNPs	7G76s4	M_LDL_CE_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.133229454353632	0.115165357703951	0.331083704139385
Lu BF EU sex combined 5 SNPs	7qHQKi	S_VLDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	Lu BF EU sex combined 5 SNPs	0.111303560501819	0.103241495980127	0.359955950711913
