id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0.000602644393875229	0.00326864586553648	0.854226533975094
Locke BMI EU sex combined 77 SNPs clumped	0DE4zj	VLDL_PL_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0.00357896409379573	0.00306397241973014	0.246524207430214
Locke BMI EU sex combined 77 SNPs clumped	18Nq8B	M_VLDL_TG_pct_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0.00461871975304628	0.00451526324072446	0.309681586994661
Locke BMI EU sex combined 77 SNPs clumped	1k9APU	DHA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	-0.00082333148506679	0.0025962154998588	0.752039823335783
Locke BMI EU sex combined 77 SNPs clumped	1ppPut	M_HDL_L_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	-0.000111183966521193	0.00351631688031056	0.974860669169769
Locke BMI EU sex combined 77 SNPs clumped	1QkNYP	XXL_VLDL_CE_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0.00395660135026613	0.00240248663781902	0.103823751483378
Locke BMI EU sex combined 77 SNPs clumped	2DtUeK	XL_VLDL_P_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0.00481503773752918	0.00271147744891507	0.0798772802943867
Locke BMI EU sex combined 77 SNPs clumped	2Hr4HL	S_VLDL_FC_pct_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	-0.00422751895907661	0.00485457036099654	0.386661809583102
Locke BMI EU sex combined 77 SNPs clumped	2YTBa6	IDL_CE_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0.000405054596460963	0.0053290986690012	0.9396177832079
Locke BMI EU sex combined 77 SNPs clumped	30Jew5	S_HDL_TG_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0.0057503543072963	0.00289490720956804	0.0506958157817568
Locke BMI EU sex combined 77 SNPs clumped	3gVk6N	L_HDL_TG_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0.00117335316518644	0.00257410221387101	0.649847046482717
Locke BMI EU sex combined 77 SNPs clumped	3j5yG7	M_VLDL_TG_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0.00427808676595654	0.00261636462262394	0.106269620238428
Locke BMI EU sex combined 77 SNPs clumped	3MAdBD	S_HDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	-0.00299817223150072	0.00330227075328481	0.366871832522765
Locke BMI EU sex combined 77 SNPs clumped	3OeG67	IDL_C_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0.000164164892902168	0.00529942981114567	0.9753706106451
Locke BMI EU sex combined 77 SNPs clumped	3sFWY7	Tyr_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	-0.000970230851912969	0.0021830505284119	0.658022971347573
Locke BMI EU sex combined 77 SNPs clumped	3wV1Hi	XXL_VLDL_C_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0.00451654898932924	0.00240136591821504	0.0639301966936728
Locke BMI EU sex combined 77 SNPs clumped	3ZRakZ	XL_VLDL_C_pct_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	-0.00570696294799784	0.0033362493920713	0.0913459072297185
Locke BMI EU sex combined 77 SNPs clumped	3zz3RG	Sphingomyelins_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	-0.000615840712839786	0.00429684127377637	0.886423824886523
Locke BMI EU sex combined 77 SNPs clumped	4h3C5d	M_HDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	-0.00588535224150281	0.0029465190931452	0.0494593964994385
Locke BMI EU sex combined 77 SNPs clumped	4OFXyY	M_LDL_FC_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	-0.000308575072905389	0.00571837053792106	0.957110807689268
Locke BMI EU sex combined 77 SNPs clumped	4RpI24	Ile_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0.000840179721209517	0.00203124436216764	0.680342800500191
Locke BMI EU sex combined 77 SNPs clumped	4TdxyD	M_LDL_FC_pct_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	-0.005402979928511	0.0036133589995644	0.139094214550492
Locke BMI EU sex combined 77 SNPs clumped	4xtrBp	LA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	-0.000402067800380186	0.00341853545128787	0.906692123785335
Locke BMI EU sex combined 77 SNPs clumped	52x1F7	DHA_pct_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	-0.00257857373690661	0.00232991547232575	0.271997964943116
Locke BMI EU sex combined 77 SNPs clumped	5cJDtz	L_VLDL_FC_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0.00427266225831606	0.00288482585258419	0.142830414934563
Locke BMI EU sex combined 77 SNPs clumped	5d4rkM	VLDL_C_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0.00269212336363789	0.00358480124486816	0.455044677667138
Locke BMI EU sex combined 77 SNPs clumped	5hPM9u	HDL_P_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	-0.000575760775198109	0.00297998648099639	0.847324464538058
Locke BMI EU sex combined 77 SNPs clumped	6bE4xg	M_LDL_CE_pct_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0.00343146057137588	0.00281167002783792	0.226174840683905
Locke BMI EU sex combined 77 SNPs clumped	6DPYZU	Phosphatidylc_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0.000649066402646588	0.00276566183240917	0.815099417122781
Locke BMI EU sex combined 77 SNPs clumped	6g2nPJ	Acetone_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	-0.00289018239198983	0.0019281890438394	0.138151054027291
Locke BMI EU sex combined 77 SNPs clumped	6WwQTK	XXL_VLDL_FC_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0.00464714743750676	0.00241144535911833	0.0578035788053098
Locke BMI EU sex combined 77 SNPs clumped	6Z3Z15	non_HDL_C_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0.000895750513632943	0.00499746762319641	0.858238430913685
Locke BMI EU sex combined 77 SNPs clumped	6ZbKB9	L_VLDL_PL_pct_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0.00413832572761982	0.0031555174341721	0.193757942476543
