id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	metabolite	UKB_label	UKB_name	ng_anno_label	INTERVAL_label	UKB_name2	UKB_unit	UKB_class	UKB_subclass	UKB_subclass_unit	ng_anno_raw.label	ng_anno_class	ng_anno_subclass	ng_anno_label3	ng_anno_label.no.units	INTERVAL_doc_name	INTERVAL_abbr_to_use	INTERVAL_full_name	UKB_derived	ng_anno_derived
BMI	0bR4eq	Citrate_int_imputed.txt_adiposity_instruments.txt	BMI	MR Egger	264	0.143432276531927	0.11113965023054	0.19799436105219	citrate	citrate	Citrate	cit	cit	Citrate	mmol/l	Glycolysis related metabolites	Glycolysis related metabolites		Citrate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Citrate (mmol/l)	Citrate	Cit	Cit	Citrate	no	no
BMI	0bR4eq	Citrate_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted median	264	-0.0966423029229737	0.0336574407602224	0.00408722308092827	citrate	citrate	Citrate	cit	cit	Citrate	mmol/l	Glycolysis related metabolites	Glycolysis related metabolites		Citrate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Citrate (mmol/l)	Citrate	Cit	Cit	Citrate	no	no
BMI	0bR4eq	Citrate_int_imputed.txt_adiposity_instruments.txt	BMI	Inverse variance weighted (multiplicative random effects)	264	-0.0943065813788125	0.0256814259455253	0.000240498891450887	citrate	citrate	Citrate	cit	cit	Citrate	mmol/l	Glycolysis related metabolites	Glycolysis related metabolites		Citrate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Citrate (mmol/l)	Citrate	Cit	Cit	Citrate	no	no
BMI	0bR4eq	Citrate_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted mode	264	-0.160951356034684	0.118535425964897	0.175680376847282	citrate	citrate	Citrate	cit	cit	Citrate	mmol/l	Glycolysis related metabolites	Glycolysis related metabolites		Citrate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Citrate (mmol/l)	Citrate	Cit	Cit	Citrate	no	no
BMI	11RTqK	L_HDL_PL_int_imputed.txt_adiposity_instruments.txt	BMI	MR Egger	264	-0.389234809427516	0.149801350290586	0.00989797311807653	lhdlpl	lhdlpl	L_HDL_PL	lhdlpl	lhdlpl	Phospholipids in large HDL	mmol/l	Lipoprotein subclasses	Large HDL	average diameter 12.1 nm	Phospholipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Phospholipids (mmol/l)	Phospholipids	L-HDL-PL	L-HDL-PL	Phospholipids in large HDL	no	no
BMI	11RTqK	L_HDL_PL_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted median	264	-0.341670282286294	0.0354761513250088	5.91596181924633e-22	lhdlpl	lhdlpl	L_HDL_PL	lhdlpl	lhdlpl	Phospholipids in large HDL	mmol/l	Lipoprotein subclasses	Large HDL	average diameter 12.1 nm	Phospholipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Phospholipids (mmol/l)	Phospholipids	L-HDL-PL	L-HDL-PL	Phospholipids in large HDL	no	no
BMI	11RTqK	L_HDL_PL_int_imputed.txt_adiposity_instruments.txt	BMI	Inverse variance weighted (multiplicative random effects)	264	-0.346533169257825	0.0343002741902072	5.36174586608189e-24	lhdlpl	lhdlpl	L_HDL_PL	lhdlpl	lhdlpl	Phospholipids in large HDL	mmol/l	Lipoprotein subclasses	Large HDL	average diameter 12.1 nm	Phospholipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Phospholipids (mmol/l)	Phospholipids	L-HDL-PL	L-HDL-PL	Phospholipids in large HDL	no	no
BMI	11RTqK	L_HDL_PL_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted mode	264	-0.315591937757676	0.114358589583766	0.0061926599855604	lhdlpl	lhdlpl	L_HDL_PL	lhdlpl	lhdlpl	Phospholipids in large HDL	mmol/l	Lipoprotein subclasses	Large HDL	average diameter 12.1 nm	Phospholipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Phospholipids (mmol/l)	Phospholipids	L-HDL-PL	L-HDL-PL	Phospholipids in large HDL	no	no
BMI	1HAEE1	S_HDL_FC_int_imputed.txt_adiposity_instruments.txt	BMI	MR Egger	264	-0.213000151814455	0.125262999839992	0.0902379139814941	shdlfc	shdlfc	S_HDL_FC	shdlfc	shdlfc	Free cholesterol in small HDL	mmol/l	Lipoprotein subclasses	Small HDL	average diameter 8.7 nm	Free cholesterol in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Free cholesterol (mmol/l)	Free cholesterol	S-HDL-FC	S-HDL-FC	Free cholesterol in small HDL	no	no
BMI	1HAEE1	S_HDL_FC_int_imputed.txt_adiposity_instruments.txt	BMI	Weighted median	264	-0.0460767734819233	0.0351236987357586	0.189573159505261	shdlfc	shdlfc	S_HDL_FC	shdlfc	shdlfc	Free cholesterol in small HDL	mmol/l	Lipoprotein subclasses	Small HDL	average diameter 8.7 nm	Free cholesterol in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Free cholesterol (mmol/l)	Free cholesterol	S-HDL-FC	S-HDL-FC	Free cholesterol in small HDL	no	no
BMI	1HAEE1	S_HDL_FC_int_imputed.txt_adiposity_instruments.txt	BMI	Inverse variance weighted (multiplicative random effects)	264	-0.0519114028175968	0.0287778011735781	0.0712517400946575	shdlfc	shdlfc	S_HDL_FC	shdlfc	shdlfc	Free cholesterol in small HDL	mmol/l	Lipoprotein subclasses	Small HDL	average diameter 8.7 nm	Free cholesterol in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Free cholesterol (mmol/l)	Free cholesterol	S-HDL-FC	S-HDL-FC	Free cholesterol in small HDL	no	no
