id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
BMI	03uQk9	S_LDL_FC_int.imputed.txt_adiposity_instruments.txt	BMI	MR Egger	517	-0.15499495086767	0.0936059023995298	0.0983665090078375
BMI	03uQk9	S_LDL_FC_int.imputed.txt_adiposity_instruments.txt	BMI	Weighted median	517	-0.115180704986459	0.0238292450905327	1.34095323220103e-06
BMI	03uQk9	S_LDL_FC_int.imputed.txt_adiposity_instruments.txt	BMI	Inverse variance weighted (multiplicative random effects)	517	-0.11329263255708	0.0241126531740464	2.62114754849246e-06
BMI	03uQk9	S_LDL_FC_int.imputed.txt_adiposity_instruments.txt	BMI	Weighted mode	517	-0.144712216444385	0.0944144134077626	0.125954171744387
BMI	0LOEtq	HDL_CE_int.imputed.txt_adiposity_instruments.txt	BMI	MR Egger	517	-0.271322690646131	0.0790048882106484	0.000642104768333729
BMI	0LOEtq	HDL_CE_int.imputed.txt_adiposity_instruments.txt	BMI	Weighted median	517	-0.281921099477809	0.0228555773655059	5.87669953309664e-35
BMI	0LOEtq	HDL_CE_int.imputed.txt_adiposity_instruments.txt	BMI	Inverse variance weighted (multiplicative random effects)	517	-0.30399130507877	0.020352578817994	1.91435990430311e-50
BMI	0LOEtq	HDL_CE_int.imputed.txt_adiposity_instruments.txt	BMI	Weighted mode	517	-0.347609962151885	0.0850156573061763	5.0291823750648e-05
BMI	0my2zd	XL_VLDL_L_int.imputed.txt_adiposity_instruments.txt	BMI	MR Egger	517	0.191734037867067	0.0876902330055336	0.0292288845682581
BMI	0my2zd	XL_VLDL_L_int.imputed.txt_adiposity_instruments.txt	BMI	Weighted median	517	0.215137984884398	0.0240246006088631	3.40032301466458e-19
BMI	0my2zd	XL_VLDL_L_int.imputed.txt_adiposity_instruments.txt	BMI	Inverse variance weighted (multiplicative random effects)	517	0.231968872971043	0.0225869401346043	9.61606182429526e-25
BMI	0my2zd	XL_VLDL_L_int.imputed.txt_adiposity_instruments.txt	BMI	Weighted mode	517	0.18980542058977	0.0911165380427457	0.037733286142309
BMI	0ug61V	Total_CE_int.imputed.txt_adiposity_instruments.txt	BMI	MR Egger	517	-0.221418670021163	0.0812248753881237	0.00662914302668755
BMI	0ug61V	Total_CE_int.imputed.txt_adiposity_instruments.txt	BMI	Weighted median	517	-0.189536520160264	0.0231429693836813	2.61639065512655e-16
BMI	0ug61V	Total_CE_int.imputed.txt_adiposity_instruments.txt	BMI	Inverse variance weighted (multiplicative random effects)	517	-0.186858074906092	0.0209224953193581	4.22308428839877e-19
BMI	0ug61V	Total_CE_int.imputed.txt_adiposity_instruments.txt	BMI	Weighted mode	517	-0.250097200622163	0.084855219282603	0.00335025672778092
BMI	15JwfP	Phosphoglyc_int.imputed.txt_adiposity_instruments.txt	BMI	MR Egger	517	-0.140968799651283	0.0747475805971625	0.0598667044561622
BMI	15JwfP	Phosphoglyc_int.imputed.txt_adiposity_instruments.txt	BMI	Weighted median	517	-0.117010975503983	0.0227784984700452	2.79300522185932e-07
BMI	15JwfP	Phosphoglyc_int.imputed.txt_adiposity_instruments.txt	BMI	Inverse variance weighted (multiplicative random effects)	517	-0.124045393705503	0.0192510956614082	1.16710945294328e-10
BMI	15JwfP	Phosphoglyc_int.imputed.txt_adiposity_instruments.txt	BMI	Weighted mode	517	-0.0501441975448831	0.101170302352878	0.620358407460981
BMI	1jpjoB	XXL_VLDL_L_int.imputed.txt_adiposity_instruments.txt	BMI	MR Egger	517	0.207759033749439	0.0885343565776061	0.0193211063378864
BMI	1jpjoB	XXL_VLDL_L_int.imputed.txt_adiposity_instruments.txt	BMI	Weighted median	517	0.231500165417763	0.0239840983994123	4.8095647058736e-22
BMI	1jpjoB	XXL_VLDL_L_int.imputed.txt_adiposity_instruments.txt	BMI	Inverse variance weighted (multiplicative random effects)	517	0.244326529269508	0.0228033944726034	8.70443975481654e-27
BMI	1jpjoB	XXL_VLDL_L_int.imputed.txt_adiposity_instruments.txt	BMI	Weighted mode	517	0.199957104813072	0.0876578415718093	0.0229486567217249
