metabolite	bmi_direction	whr_direction	whradjbmi_direction	overall_direction
citrate	-	-	-	---
lhdlpl	-	-	-	---
xsvldlcepct	-	-	-	---
xxlvldlcepct	-	-	-	---
lvldlcpct	-	-	-	---
mhdlcepct	-	-	-	---
lldlcpct	-	-	-	---
lhdlp	-	-	-	---
shdlcpct	-	-	-	---
idlcepct	-	-	-	---
xlvldlcpct	-	-	-	---
xxlvldlcpct	-	-	-	---
svldlcepct	-	-	-	---
xxlvldlfcpct	-	-	-	---
shdlfcpct	-	-	-	---
acetate	-	-	-	---
mvldlplpct	-	-	-	---
xlhdll	-	-	-	---
svldlplpct	-	-	-	---
lhdll	-	-	-	---
idlfcpct	-	-	-	---
hdlsize	-	-	-	---
lhdlce	-	-	-	---
pufapct	-	-	-	---
idlfc	-	-	-	---
sldlplpct	-	-	-	---
mhdlc	-	-	-	---
mhdll	-	-	-	---
cholines	-	-	-	---
lhdlcpct	-	-	-	---
lvldlcepct	-	-	-	---
mhdlfc	-	-	-	---
lvldltgpct	-	-	-	---
mldlfcpct	-	-	-	---
totalc	-	-	-	---
xlhdlpl	-	-	-	---
xlhdlc	-	-	-	---
hdll	-	-	-	---
xlhdlcepct	-	-	-	---
unsaturation	-	-	-	---
mhdlfcpct	-	-	-	---
xlvldlcepct	-	-	-	---
lldlfc	-	-	-	---
lldlfcpct	-	-	-	---
hdlce	-	-	-	---
dhapct	-	-	-	---
hdlfc	-	-	-	---
apoa1	-	-	-	---
ldlsize	-	-	-	---
svldlfcpct	-	-	-	---
gly	-	-	-	---
totalce	-	-	-	---
hdlc	-	-	-	---
xlhdlfc	-	-	-	---
omega6pct	-	-	-	---
idlce	-	-	-	---
lapct	-	-	-	---
mvldlcepct	-	-	-	---
lhdlfc	-	-	-	---
mvldlfcpct	-	-	-	---
mldlcpct	-	-	-	---
hdlpl	-	-	-	---
xlvldlfcpct	-	-	-	---
xsvldlfcpct	-	-	-	---
shdlcepct	-	-	-	---
totalp	-	-	-	---
phosphatidylc	-	-	-	---
mldlplpct	-	-	-	---
xlhdlp	-	-	-	---
xsvldlcpct	-	-	-	---
xlhdlce	-	-	-	---
pufabymufa	-	-	-	---
svldlcpct	-	-	-	---
lhdlc	-	-	-	---
mhdlp	-	-	-	---
idlc	-	-	-	---
idlcpct	-	-	-	---
mhdlce	-	-	-	---
mhdlpl	-	-	-	---
gln	-	-	-	---
mhdlcpct	-	-	-	---
lhdlcepct	-	-	-	---
lhdlfcpct	-	-	-	---
sldlfcpct	-	-	-	---
sphingomyelins	-	-	-	---
hdlp	-	-	-	---
mvldlcpct	-	-	-	---
xlhdlplpct	-	-	-	---
