id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	metabolite	UKB_label	UKB_name	ng_anno_label	INTERVAL_label	UKB_name2	UKB_unit	UKB_class	UKB_subclass	UKB_subclass_unit	ng_anno_raw.label	ng_anno_class	ng_anno_subclass	ng_anno_label3	ng_anno_label.no.units	INTERVAL_doc_name	INTERVAL_abbr_to_use	INTERVAL_full_name	UKB_derived	ng_anno_derived
WHRadjBMI	08UC1w	XXL_VLDL_L_int.imputed.txt_adiposity_instruments.txt	WHRadjBMI	MR Egger	325	0.400869056173421	0.108189564129992	0.000248375575548463	xxlvldll	xxlvldll	XXL_VLDL_L	xxlvldll	xxlvldlfc_	Total lipids in chylomicrons and extremely large VLDL	mmol/l	Lipoprotein subclasses	Chylomicrons and extremely large VLDL	particle diameters from 75 nm upwards	Total lipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Total lipids (mmol/l)	Total lipids	XXL-VLDL-L	XXL-VLDL-L	Total lipids in chylomicrons and extremely large VLDL	no	no
WHRadjBMI	08UC1w	XXL_VLDL_L_int.imputed.txt_adiposity_instruments.txt	WHRadjBMI	Weighted median	325	0.267196471057851	0.030957028481263	6.07087574201226e-18	xxlvldll	xxlvldll	XXL_VLDL_L	xxlvldll	xxlvldlfc_	Total lipids in chylomicrons and extremely large VLDL	mmol/l	Lipoprotein subclasses	Chylomicrons and extremely large VLDL	particle diameters from 75 nm upwards	Total lipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Total lipids (mmol/l)	Total lipids	XXL-VLDL-L	XXL-VLDL-L	Total lipids in chylomicrons and extremely large VLDL	no	no
WHRadjBMI	08UC1w	XXL_VLDL_L_int.imputed.txt_adiposity_instruments.txt	WHRadjBMI	Inverse variance weighted (multiplicative random effects)	325	0.3340722188838	0.0364066072388096	4.46810572173552e-20	xxlvldll	xxlvldll	XXL_VLDL_L	xxlvldll	xxlvldlfc_	Total lipids in chylomicrons and extremely large VLDL	mmol/l	Lipoprotein subclasses	Chylomicrons and extremely large VLDL	particle diameters from 75 nm upwards	Total lipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Total lipids (mmol/l)	Total lipids	XXL-VLDL-L	XXL-VLDL-L	Total lipids in chylomicrons and extremely large VLDL	no	no
WHRadjBMI	08UC1w	XXL_VLDL_L_int.imputed.txt_adiposity_instruments.txt	WHRadjBMI	Weighted mode	325	0.239724605766857	0.0998298486300426	0.0168985325208972	xxlvldll	xxlvldll	XXL_VLDL_L	xxlvldll	xxlvldlfc_	Total lipids in chylomicrons and extremely large VLDL	mmol/l	Lipoprotein subclasses	Chylomicrons and extremely large VLDL	particle diameters from 75 nm upwards	Total lipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Total lipids (mmol/l)	Total lipids	XXL-VLDL-L	XXL-VLDL-L	Total lipids in chylomicrons and extremely large VLDL	no	no
WHRadjBMI	11MvSK	Total_L_int.imputed.txt_adiposity_instruments.txt	WHRadjBMI	MR Egger	325	0.0994920237524494	0.101400844593709	0.327240548969725	totall	totall	Total_L	NA	NA	Total lipids in lipoprotein particles	mmol/l	Total lipids	Total lipids		NA	NA	NA	NA	NA	NA	NA	NA	no	NA
WHRadjBMI	11MvSK	Total_L_int.imputed.txt_adiposity_instruments.txt	WHRadjBMI	Weighted median	325	0.0746812735030465	0.0308174544391311	0.0153783838274565	totall	totall	Total_L	NA	NA	Total lipids in lipoprotein particles	mmol/l	Total lipids	Total lipids		NA	NA	NA	NA	NA	NA	NA	NA	no	NA
WHRadjBMI	11MvSK	Total_L_int.imputed.txt_adiposity_instruments.txt	WHRadjBMI	Inverse variance weighted (multiplicative random effects)	325	0.0779900134757607	0.0340889255081272	0.0221468299796459	totall	totall	Total_L	NA	NA	Total lipids in lipoprotein particles	mmol/l	Total lipids	Total lipids		NA	NA	NA	NA	NA	NA	NA	NA	no	NA
WHRadjBMI	11MvSK	Total_L_int.imputed.txt_adiposity_instruments.txt	WHRadjBMI	Weighted mode	325	0.0749502479097393	0.0750767052295157	0.31887132250981	totall	totall	Total_L	NA	NA	Total lipids in lipoprotein particles	mmol/l	Total lipids	Total lipids		NA	NA	NA	NA	NA	NA	NA	NA	no	NA
WHRadjBMI	1j2nIi	HDL_L_int.imputed.txt_adiposity_instruments.txt	WHRadjBMI	MR Egger	325	-0.298160199558066	0.0825401824804054	0.000351784122434208	hdll	hdll	HDL_L	NA	NA	Total lipids in HDL	mmol/l	Total lipids	Total lipids		NA	NA	NA	NA	NA	NA	NA	NA	no	NA
WHRadjBMI	1j2nIi	HDL_L_int.imputed.txt_adiposity_instruments.txt	WHRadjBMI	Weighted median	325	-0.196609806306877	0.0280652529819583	2.46188245488215e-12	hdll	hdll	HDL_L	NA	NA	Total lipids in HDL	mmol/l	Total lipids	Total lipids		NA	NA	NA	NA	NA	NA	NA	NA	no	NA
WHRadjBMI	1j2nIi	HDL_L_int.imputed.txt_adiposity_instruments.txt	WHRadjBMI	Inverse variance weighted (multiplicative random effects)	325	-0.218553919888579	0.0277873653211077	3.68430446986794e-15	hdll	hdll	HDL_L	NA	NA	Total lipids in HDL	mmol/l	Total lipids	Total lipids		NA	NA	NA	NA	NA	NA	NA	NA	no	NA
WHRadjBMI	1j2nIi	HDL_L_int.imputed.txt_adiposity_instruments.txt	WHRadjBMI	Weighted mode	325	-0.167680258467821	0.100617902871249	0.0965792102588632	hdll	hdll	HDL_L	NA	NA	Total lipids in HDL	mmol/l	Total lipids	Total lipids		NA	NA	NA	NA	NA	NA	NA	NA	no	NA
WHRadjBMI	1UKXox	M_LDL_PL_pct_int.imputed.txt_adiposity_instruments.txt	WHRadjBMI	MR Egger	325	-0.124094306772352	0.0855922932361922	0.148076095827201	mldlplpct	mldlplpct	M_LDL_PL_pct	mldlplpct	mldlpl_	Phospholipids to total lipids ratio in medium LDL	%	Relative lipoprotein lipid concentrations	Medium LDL ratios		Phospholipids in medium LDL to total lipids in medium LDL ratio (%)	Lipoprotein subclasses ratios	Medium LDL ratios	Phospholipids to total lipid ratio (%)	Ratio	M-LDL-PL_%	M-LDL-PL_percent	Phospholipids to total lipds ratio in medium LDL	yes	yes
WHRadjBMI	1UKXox	M_LDL_PL_pct_int.imputed.txt_adiposity_instruments.txt	WHRadjBMI	Weighted median	325	-0.11476360185571	0.0300519338296044	0.000134079335314637	mldlplpct	mldlplpct	M_LDL_PL_pct	mldlplpct	mldlpl_	Phospholipids to total lipids ratio in medium LDL	%	Relative lipoprotein lipid concentrations	Medium LDL ratios		Phospholipids in medium LDL to total lipids in medium LDL ratio (%)	Lipoprotein subclasses ratios	Medium LDL ratios	Phospholipids to total lipid ratio (%)	Ratio	M-LDL-PL_%	M-LDL-PL_percent	Phospholipids to total lipds ratio in medium LDL	yes	yes
WHRadjBMI	1UKXox	M_LDL_PL_pct_int.imputed.txt_adiposity_instruments.txt	WHRadjBMI	Inverse variance weighted (multiplicative random effects)	325	-0.143587374368564	0.0287725950751986	6.02477105969534e-07	mldlplpct	mldlplpct	M_LDL_PL_pct	mldlplpct	mldlpl_	Phospholipids to total lipids ratio in medium LDL	%	Relative lipoprotein lipid concentrations	Medium LDL ratios		Phospholipids in medium LDL to total lipids in medium LDL ratio (%)	Lipoprotein subclasses ratios	Medium LDL ratios	Phospholipids to total lipid ratio (%)	Ratio	M-LDL-PL_%	M-LDL-PL_percent	Phospholipids to total lipds ratio in medium LDL	yes	yes
