exposure	metabolite	nsnp	b	se	pval	direction	UKB_label	UKB_name	UKB_name2	UKB_unit	UKB_class	UKB_subclass	UKB_subclass_unit	UKB_derived
BMI	mufapct	264	0.344636730070305	0.031511905283632	7.69372315185298e-28	+	mufapct	MUFA_pct	Ratio of monounsaturated fatty acids to total fatty acids	%	Fatty acids	Fatty acid ratios		yes
BMI	sfapct	264	0.127128990271279	0.0254562785095989	5.91373607243572e-07	+	sfapct	SFA_pct	Ratio of saturated fatty acids to total fatty acids	%	Fatty acids	Fatty acid ratios		yes
BMI	lvldlcepct	264	-0.221638119821316	0.0294184910859209	4.92192790960723e-14	-	lvldlcepct	L_VLDL_CE_pct	Cholesteryl esters to total lipids ratio in large VLDL	%	Relative lipoprotein lipid concentrations	Large VLDL ratios		yes
BMI	totalp	264	-0.195774867223124	0.029852693398793	5.45231402116968e-11	-	totalp	Total_P	Total concentration of lipoprotein particles	mmol/l	Lipoprotein particle concentrations	Lipoprotein particle concentrations		no
BMI	xlvldlfc	264	0.190780176597074	0.0338923021165142	1.81244750413431e-08	+	xlvldlfc	XL_VLDL_FC	Free cholesterol in very large VLDL	mmol/l	Lipoprotein subclasses	Very large VLDL	average diameter 64 nm	no
BMI	lapct	264	-0.360414855076278	0.0279985192939375	6.41708131942293e-38	-	lapct	LA_pct	Ratio of linoleic acid to total fatty acids	%	Fatty acids	Fatty acid ratios		yes
BMI	idlcpct	264	-0.233591988161275	0.0363004580101654	1.23506010104754e-10	-	idlcpct	IDL_C_pct	Cholesterol to total lipids ratio in IDL	%	Relative lipoprotein lipid concentrations	IDL ratios		yes
BMI	mhdlp	264	-0.205915911641958	0.0331797174081693	5.4323251002485e-10	-	mhdlp	M_HDL_P	Concentration of medium HDL particles	mmol/l	Lipoprotein subclasses	Medium HDL	average diameter 10.9 nm	no
BMI	xsvldlcpct	264	-0.291432245363257	0.0361946599165226	8.15836272104384e-16	-	xsvldlcpct	XS_VLDL_C_pct	Cholesterol to total lipids ratio in very small VLDL	%	Relative lipoprotein lipid concentrations	Very small VLDL ratios		yes
BMI	xlhdltgpct	264	0.285495855887806	0.0336125559794697	2.00114991381316e-17	+	xlhdltgpct	XL_HDL_TG_pct	Triglycerides to total lipids ratio in very large HDL	%	Relative lipoprotein lipid concentrations	Very large HDL ratios		yes
BMI	pufapct	264	-0.322510430849502	0.0301982624570389	1.26587898371327e-26	-	pufapct	PUFA_pct	Ratio of polyunsaturated fatty acids to total fatty acids	%	Fatty acids	Fatty acid ratios		yes
BMI	xlhdll	264	-0.3975976760211	0.0321609482005868	4.15702401062225e-35	-	xlhdll	XL_HDL_L	Total lipids in very large HDL	mmol/l	Lipoprotein subclasses	Very large HDL	average diameter 14.3 nm	no
BMI	tgbypg	264	0.274496461965355	0.0339707568481889	6.45677927622561e-16	+	tgbypg	TG_by_PG	Ratio of triglycerides to phosphoglycerides	ratio	Other lipids	Other lipids		no
