exposure	outcome	group	adjusted	method	b	se	pval
WHRadjBMI	Endometrial cancer	WHRadjBMI_ala	ala	Multivariable MR	-0.048713017582661	0.0890003713811546	0.584519692258105
ala	Endometrial cancer	WHRadjBMI_ala	WHRadjBMI	Multivariable MR	0.401904311143566	0.163306821219534	0.0143665584828936
WHRadjBMI	endometrioid_cancer	WHRadjBMI_ala	ala	Multivariable MR	-0.122630817232334	0.101339832449949	0.227111173364077
ala	endometrioid_cancer	WHRadjBMI_ala	WHRadjBMI	Multivariable MR	0.333737299057233	0.186046409733085	0.0737570320962991
WHRadjBMI	non_endometrioid_cancer	WHRadjBMI_ala	ala	Multivariable MR	0.212472033904522	0.219344834548007	0.333431823453076
ala	non_endometrioid_cancer	WHRadjBMI_ala	WHRadjBMI	Multivariable MR	0.544104370921741	0.394550163707164	0.168827661277864
WHRadjBMI	Endometrial cancer	WHRadjBMI_hdltg	hdltg	Multivariable MR	-0.00215329105437066	0.0927272207666023	0.981487616806223
hdltg	Endometrial cancer	WHRadjBMI_hdltg	WHRadjBMI	Multivariable MR	0.0397909920318562	0.103193202466394	0.700047399970775
WHRadjBMI	endometrioid_cancer	WHRadjBMI_hdltg	hdltg	Multivariable MR	-0.0467985066357579	0.105933314996421	0.658947082133469
hdltg	endometrioid_cancer	WHRadjBMI_hdltg	WHRadjBMI	Multivariable MR	-0.0789742960138903	0.118295587662822	0.50486185078576
WHRadjBMI	non_endometrioid_cancer	WHRadjBMI_hdltg	hdltg	Multivariable MR	0.0354212933373114	0.226770146666492	0.875974270786015
hdltg	non_endometrioid_cancer	WHRadjBMI_hdltg	WHRadjBMI	Multivariable MR	0.526140704271419	0.248241577159499	0.0348180040807139
WHRadjBMI	Endometrial cancer	WHRadjBMI_idlplpct	idlplpct	Multivariable MR	0.00181296662769038	0.088154119608259	0.983604353872579
idlplpct	Endometrial cancer	WHRadjBMI_idlplpct	WHRadjBMI	Multivariable MR	-0.0911542240839691	0.121324483859734	0.452990402370859
WHRadjBMI	endometrioid_cancer	WHRadjBMI_idlplpct	idlplpct	Multivariable MR	-0.0744713805218599	0.0996130170659417	0.455228077215612
