exposure	outcome	id.exposure	id.outcome	samplesize	SNP	b	se	p
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10048652	0.480888888888889	1.13673333333333	0.672262727152559
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10124645	1.65502941176471	1.16829411764706	0.15659390797154
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs1013293	0.4584	0.993311688311688	0.644449557434178
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10159545	1.95212380952381	0.754457142857143	0.0096687860013185
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10176391	0.383215297450425	1.04794050991501	0.714600729893236
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs1048786	0.76754347826087	1.13095108695652	0.497346472099788
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10491104	1.40968217054264	1.19021705426357	0.236258386551842
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10733682	0.535568987341772	0.969189873417721	0.580541113336436
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10747488	0.24371724137931	1.03771264367816	0.814317359306575
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10801363	-0.7718	0.959072727272727	0.420972251392583
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10894604	1.31280141843972	1.14149645390071	0.250114827877559
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10896007	0.216406280193237	0.918487922705314	0.813734180223386
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10913418	0.419710869565217	1.14328260869565	0.713536713223234
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10947758	1.81818791946309	1.06893959731544	0.0889567491034115
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10950289	1.16358018867925	1.01502830188679	0.251649345649776
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs11038428	0.122721476510067	1.14673154362416	0.914774312289006
